Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad,id,agegroup,weekday_name,month_name,hour
60.53,33.0,68094.85,162.03,Synchronized multi-tasking ability,Johnsontown,0,Indonesia,2016-06-10 11:31:33,0,27,31-40,Friday,June,11
90.97,31.0,38817.4,171.23,Automated mobile model,North Johnside,0,Angola,2016-06-10 03:56:41,0,28,31-40,Friday,June,3
41.73,28.0,71222.4,217.37,Centralized logistical secured line,Hernandezfort,0,Gabon,2016-02-15 16:52:04,0,29,21-30,Monday,February,16
74.59,27.0,36884.23,214.42,Business-focused holistic benchmark,Garciatown,0,Spain,2016-07-03 04:11:40,0,30,21-30,Sunday,July,4
47.48,29.0,57545.56,216.49,Mandatory coherent groupware,Christinetown,0,Burundi,2016-01-16 16:40:30,0,31,21-30,Saturday,January,16
40.47,35.0,54429.17,236.87,Optional multi-state hardware,Port Cassie,0,Saint Vincent and the Grenadines,2016-06-21 03:14:41,1,32,31-40,Tuesday,June,3
54.88,21.0,61009.1,157.04,Function-based context-sensitive secured line,South Rebecca,0,Hungary,2016-01-17 15:10:31,0,33,21-30,Sunday,January,15
82.07,41.0,57846.68,187.76,Progressive asynchronous adapter,West Lisa,1,Honduras,2016-05-13 11:57:12,1,34,41-50,Friday,May,11
59.22,40.0,40468.53,140.46,Networked responsive application,Port Destiny,0,Denmark,2016-07-01 01:12:04,1,35,31-40,Friday,July,1
82.07,22.0,51363.16,180.47,Profit-focused secondary portal,North Isabellaville,1,Tajikistan,2016-05-31 23:32:00,0,36,21-30,Tuesday,May,23
57.24,33.0,49101.67,120.75,Compatible composite project,New Taylorburgh,1,Afghanistan,2016-03-24 06:36:52,1,37,31-40,Thursday,March,6
44.33,39.0,48335.2,258.62,Cloned object-oriented benchmark,Westshire,0,Micronesia,2016-03-15 06:54:21,1,38,31-40,Tuesday,March,6
41.73,31.0,59886.58,207.17,Optional full-range projection,North Regina,1,French Polynesia,2016-03-30 14:36:55,0,39,31-40,Wednesday,March,14
71.03,31.0,40182.84,207.17,Decentralized client-driven data-warehouse,New Marcusbury,0,Gabon,2016-01-31 06:14:10,1,40,31-40,Sunday,January,6
89.05,55.0,38260.89,187.76,Polarized tangible collaboration,Combsstad,0,Tonga,2016-04-21 09:30:35,1,41,51-60,Thursday,April,9
55.6,35.0,73889.99,236.87,Robust uniform framework,Wrightburgh,0,Myanmar,2016-06-11 06:47:55,0,42,31-40,Saturday,June,6
42.04,37.0,67132.46,139.32,Vision-oriented attitude-oriented Internet solution,Lake Danielle,0,Croatia,2016-05-21 01:36:16,0,43,31-40,Saturday,May,1
43.49,37.0,51691.55,217.37,Streamlined homogeneous analyzer,Petersonfurt,0,Australia,2016-06-17 17:11:16,1,44,31-40,Friday,June,17
51.24,36.0,32549.95,109.07,Operative stable moderator,Youngfort,1,Algeria,2016-04-27 04:28:17,0,45,31-40,Wednesday,April,4
68.01,33.0,41547.62,204.02,Customizable tangible hierarchy,New Thomas,1,Vanuatu,2016-07-09 11:04:54,0,46,31-40,Saturday,July,11
46.61,29.0,53431.35,227.37,Synchronized multi-tasking ability,Silvaton,0,Greece,2016-05-12 21:32:06,1,47,21-30,Thursday,May,21
82.07,43.0,52563.22,121.28,Reverse-engineered maximized focus group,North Kimberly,0,Bangladesh,2016-04-17 21:39:11,1,48,41-50,Sunday,April,21
63.45,32.0,57691.95,178.92,Business-focused transitional solution,Lisafort,1,Latvia,2016-03-31 20:55:22,0,49,31-40,Thursday,March,20
36.56,46.0,40468.53,229.12,Front-line system-worthy flexibility,Youngfort,0,Belgium,2016-04-04 08:19:54,1,50,41-50,Monday,April,8
51.56,29.0,56113.37,208.05,Advanced modular Local Area Network,Wilsonburgh,0,Burundi,2016-06-19 22:08:15,0,51,21-30,Sunday,June,22
52.84,42.0,60514.05,199.43,Virtual 5thgeneration neural-net,Hubbardmouth,1,Czech Republic,2016-02-15 16:52:04,1,52,41-50,Monday,February,16
47.74,52.0,32635.7,186.37,Business-focused transitional solution,Penatown,1,Cuba,2016-07-19 08:32:10,1,53,51-60,Tuesday,July,8
65.77,34.0,59785.94,168.34,Cloned explicit middleware,Kingshire,1,Namibia,2016-02-27 08:52:50,0,54,31-40,Saturday,February,8
56.39,46.0,40468.53,253.48,Automated multi-state toolset,North Jenniferburgh,0,Belgium,2016-04-06 14:16:52,0,55,41-50,Wednesday,April,14
76.64,31.0,56180.93,207.17,Focused 3rdgeneration pricing structure,Port Calvintown,0,Croatia,2016-06-21 14:32:32,0,56,31-40,Tuesday,June,14
57.99,34.0,40763.13,168.34,Cloned explicit middleware,Lake Amy,1,Namibia,2016-02-08 14:02:22,0,57,31-40,Monday,February,14
55.92,42.0,60514.05,236.87,Multi-layered tangible portal,Robertbury,0,Madagascar,2016-04-06 11:24:21,0,58,41-50,Wednesday,April,11
70.09,45.0,59610.81,227.73,Secured 24hour policy,Burgessside,0,Brazil,2016-04-08 14:35:44,1,59,41-50,Friday,April,14
72.23,30.0,57877.15,244.91,Cross-platform logistical pricing structure,Patriciahaven,1,Bolivia,2016-05-08 10:25:08,0,60,21-30,Sunday,May,10
61.22,28.0,39799.73,212.87,Sharable reciprocal project,New Michael,1,Barbados,2016-07-08 03:47:41,0,61,21-30,Friday,July,3
55.6,35.0,42993.48,221.18,Optional multi-state hardware,Jacquelineshire,1,Hong Kong,2016-03-18 13:22:35,0,62,31-40,Friday,March,13
59.05,33.0,43974.49,135.67,Customer-focused fault-tolerant implementation,Chaseshire,1,Vanuatu,2016-03-24 06:36:52,1,63,31-40,Thursday,March,6
55.79,22.0,21644.91,136.21,Function-based context-sensitive secured line,Combsstad,0,Brazil,2016-07-03 04:11:40,0,64,21-30,Sunday,July,4
68.01,33.0,49101.67,204.27,Focused coherent success,South George,1,Vanuatu,2016-02-06 17:48:28,1,65,31-40,Saturday,February,17
59.51,40.0,66574.0,232.78,Sharable reciprocal project,New Tinamouth,1,Ghana,2016-03-18 13:00:12,0,66,31-40,Friday,March,13
81.32,49.0,39031.89,195.69,Streamlined homogeneous analyzer,West Brandonton,1,Netherlands,2016-04-04 20:01:12,1,67,41-50,Monday,April,20
63.45,45.0,59886.58,187.76,Enhanced homogeneous moderator,Michaelmouth,1,Turkey,2016-02-05 16:50:58,1,68,41-50,Friday,February,16
72.19,39.0,58287.86,225.99,Business-focused real-time toolset,North Regina,1,Hong Kong,2016-04-07 15:18:10,0,69,31-40,Thursday,April,15
53.68,37.0,23936.86,109.29,Phased content-based middleware,Gravesport,1,Belize,2016-07-08 03:47:41,0,70,31-40,Friday,July,3
41.73,28.0,67301.39,120.49,Down-sized bandwidth-monitored core,Hernandezfort,0,American Samoa,2016-06-21 14:32:32,0,71,21-30,Tuesday,June,14
82.07,43.0,32635.7,198.45,Optimized upward-trending productivity,Wilcoxport,1,Turkey,2016-04-03 21:13:46,1,72,41-50,Sunday,April,21
43.49,37.0,23936.86,195.69,Cross-group non-volatile secured line,Browntown,0,Australia,2016-01-05 16:26:44,0,73,31-40,Tuesday,January,16
48.03,40.0,63394.41,221.98,Configurable tertiary capability,Youngfort,0,Albania,2016-07-13 16:12:24,1,74,31-40,Wednesday,July,16
49.42,45.0,69428.73,252.36,Synchronized systemic hierarchy,Kristinfurt,0,Qatar,2016-04-06 11:24:21,0,75,41-50,Wednesday,April,11
53.92,28.0,70492.6,221.79,Managed zero tolerance concept,Lake Michelle,1,Luxembourg,2016-03-17 05:00:12,0,76,21-30,Thursday,March,5
73.1,26.0,56694.12,131.68,Configurable dynamic secured line,Shelbyport,0,Austria,2016-05-15 13:18:34,0,77,21-30,Sunday,May,13
54.08,31.0,56180.93,240.64,Balanced empowering success,Lake David,1,Croatia,2016-06-02 21:02:22,0,78,31-40,Thursday,June,21
46.61,50.0,49957.0,122.31,Reverse-engineered maximized focus group,Port Katelynview,0,Bangladesh,2016-04-04 18:36:59,1,79,41-50,Monday,April,18
34.3,34.0,34191.23,187.09,Cloned explicit middleware,Port Robin,1,Equatorial Guinea,2016-04-05 18:02:49,1,80,31-40,Tuesday,April,18
55.6,39.0,37334.78,209.91,Networked asymmetric infrastructure,Andrewborough,1,Mongolia,2016-01-08 09:32:26,1,81,31-40,Friday,January,9
82.07,55.0,57868.44,187.76,Inverse high-level capability,Hubbardmouth,1,Northern Mariana Islands,2016-04-21 09:30:35,1,82,51-60,Thursday,April,9
56.39,46.0,69646.35,198.5,Proactive actuating Graphical User Interface,South Cynthiashire,1,Ireland,2016-06-12 21:21:53,0,83,41-50,Sunday,June,21
54.97,29.0,53431.35,217.1,Centralized 24hour synergy,East Anthony,1,Uganda,2016-01-14 00:23:10,0,84,21-30,Thursday,January,0
75.55,39.0,48335.2,258.62,Cloned object-oriented benchmark,Westshire,0,Micronesia,2016-05-08 22:24:27,1,85,31-40,Sunday,May,22
44.78,25.0,50506.44,241.03,Pre-emptive next generation Internet solution,Hansenmouth,1,United States Minor Outlying Islands,2016-04-28 02:55:10,0,86,21-30,Thursday,April,2
73.19,33.0,74535.94,120.75,Function-based incremental standardization,West Connor,0,Cameroon,2016-01-14 09:27:59,0,87,31-40,Thursday,January,9
54.88,50.0,39616.0,226.79,Focused coherent success,Wilcoxport,1,Iran,2016-04-03 21:13:46,1,88,41-50,Sunday,April,21
55.6,36.0,18368.57,115.26,Total cohesive moratorium,Williammouth,1,Myanmar,2016-01-03 16:01:40,1,89,31-40,Sunday,January,16
43.49,37.0,66187.58,190.17,Polarized analyzing concept,North Randy,0,Saint Vincent and the Grenadines,2016-02-10 19:20:51,1,90,31-40,Wednesday,February,19
74.59,42.0,60514.05,238.58,Innovative interactive portal,Lake Jennifer,0,Czech Republic,2016-04-06 11:24:21,1,91,41-50,Wednesday,April,11
43.49,37.0,53058.91,230.52,Centralized logistical secured line,Garciamouth,0,Croatia,2016-02-12 08:46:15,0,92,31-40,Friday,February,8
50.08,29.0,69718.19,120.06,Programmable uniform website,West Shannon,0,United Arab Emirates,2016-01-05 16:26:44,0,93,21-30,Tuesday,January,16
50.08,40.0,57330.43,140.46,User-centric attitude-oriented adapter,West Gregburgh,0,Cambodia,2016-06-11 09:37:52,1,94,31-40,Saturday,June,9
50.19,36.0,32549.95,141.52,Ameliorated actuating workforce,Youngfort,1,Indonesia,2016-01-03 16:01:40,1,95,31-40,Sunday,January,16
73.93,33.0,43974.49,196.77,Multi-tiered foreground Graphic Interface,Silvaton,0,Brazil,2016-05-12 21:32:06,1,96,31-40,Thursday,May,21
39.3,29.0,53431.35,158.56,Mandatory coherent groupware,Christinetown,0,Chile,2016-01-14 00:23:10,0,97,21-30,Thursday,January,0
55.6,54.0,53188.69,182.2,Virtual scalable secured line,West James,0,South Africa,2016-01-16 23:37:51,1,98,51-60,Saturday,January,23
74.63,27.0,66815.54,214.42,Monitored dynamic instruction set,Johnstad,0,Estonia,2016-07-18 01:36:37,0,99,21-30,Monday,July,1
83.97,41.0,57846.68,227.63,Fully-configurable foreground solution,West Leahton,1,Turkey,2016-01-08 09:32:26,0,100,41-50,Friday,January,9
68.01,33.0,56782.18,227.37,Synchronized multi-tasking ability,Novaktown,1,Australia,2016-07-14 22:43:29,1,101,31-40,Thursday,July,22
56.39,46.0,58966.22,253.48,Programmable uniform website,Shelbyport,1,Australia,2016-01-18 02:51:13,0,102,41-50,Monday,January,2
80.3,37.0,23936.86,181.02,Cloned object-oriented benchmark,Westshire,0,Moldova,2016-05-08 22:24:27,1,103,31-40,Sunday,May,22
61.22,36.0,50628.31,115.26,Robust web-enabled attitude,Lake Patrick,1,Netherlands Antilles,2016-06-20 08:22:09,0,104,31-40,Monday,June,8
47.74,32.0,69481.85,178.92,Business-focused transitional solution,Lisafort,1,Svalbard & Jan Mayen Islands,2016-01-09 03:45:19,0,105,31-40,Saturday,January,3
88.04,38.0,64564.07,206.98,Customizable homogeneous contingency,Stewartbury,1,Western Sahara,2016-01-15 19:40:47,1,106,31-40,Friday,January,19
59.59,34.0,59785.94,203.44,Function-based incremental standardization,New Tinamouth,0,Turkmenistan,2016-02-11 20:45:46,1,107,31-40,Thursday,February,20
40.04,34.0,59785.94,160.03,Cloned explicit middleware,New Tinamouth,0,Brunei Darussalam,2016-04-27 04:28:17,1,108,31-40,Wednesday,April,4
33.33,25.0,50671.6,105.86,Up-sized maximized model,Lake Rhondaburgh,1,Hong Kong,2016-07-08 17:14:01,0,109,21-30,Friday,July,17
89.05,49.0,64564.07,187.76,Reactive composite project,Michaelmouth,1,Tanzania,2016-06-24 08:42:20,1,110,41-50,Friday,June,8
84.0,36.0,70592.81,141.52,Proactive bandwidth-monitored policy,Hatfieldshire,1,Kazakhstan,2016-06-20 08:22:09,0,111,31-40,Monday,June,8
52.68,32.0,69481.85,118.27,Stand-alone radical throughput,North Daniel,1,Saudi Arabia,2016-04-06 21:20:07,1,112,31-40,Wednesday,April,21
75.84,45.0,70053.27,157.04,Function-based context-sensitive secured line,Burgessside,1,Turkey,2016-07-17 01:13:56,1,113,41-50,Sunday,July,1
81.59,45.0,45716.48,174.88,Secured 24hour policy,Wintersfort,0,Brazil,2016-06-30 00:19:33,1,114,41-50,Thursday,June,0
59.05,50.0,43974.49,123.13,Function-based context-sensitive secured line,Burgessside,0,Palau,2016-06-03 03:36:18,1,115,41-50,Friday,June,3
86.06,35.0,51119.93,143.79,Total cohesive moratorium,Kyleborough,1,Moldova,2016-03-04 10:13:48,1,116,31-40,Friday,March,10
41.73,28.0,71222.4,204.79,Polarized bifurcated array,Rickymouth,0,Albania,2016-03-20 02:44:13,0,117,21-30,Sunday,March,2
40.47,35.0,25603.93,236.87,Optional multi-state hardware,Wrightburgh,0,Ukraine,2016-07-18 01:36:37,0,118,31-40,Monday,July,1
61.84,38.0,57868.44,170.13,Profit-focused dedicated utilization,Stewartbury,0,Lao People's Democratic Republic,2016-01-15 19:40:47,1,119,31-40,Friday,January,19
59.51,30.0,57877.15,219.94,Synchronized systemic hierarchy,Kristinfurt,0,Qatar,2016-06-29 10:50:45,0,120,21-30,Wednesday,June,10
79.91,30.0,57877.15,111.94,De-engineered attitude-oriented projection,Michaelland,1,Bolivia,2016-03-18 13:00:12,0,121,21-30,Friday,March,13
39.3,29.0,53431.35,158.56,Vision-oriented attitude-oriented Internet solution,West Ricardo,0,Uganda,2016-02-03 19:12:51,1,122,21-30,Wednesday,February,19
44.4,32.0,55424.24,172.83,Assimilated fault-tolerant hub,Kristinfurt,0,Kuwait,2016-04-28 22:54:37,0,123,31-40,Thursday,April,22
54.43,37.0,53058.91,258.62,Vision-oriented attitude-oriented Internet solution,Westshire,0,Uganda,2016-06-20 14:20:52,1,124,31-40,Monday,June,14
61.22,45.0,60315.19,137.24,Enhanced homogeneous moderator,Wintersfort,1,Switzerland,2016-07-10 17:24:51,1,125,41-50,Sunday,July,17
59.59,33.0,36752.24,115.35,Synergistic stable infrastructure,Youngfort,0,Greece,2016-05-12 21:32:06,1,126,31-40,Thursday,May,21
79.6,23.0,62784.85,146.8,Team-oriented executive core,Patriciahaven,0,Czech Republic,2016-01-14 14:00:09,1,127,21-30,Thursday,January,14
37.0,32.0,55424.24,219.94,Focused upward-trending core,Hernandezside,0,Bahamas,2016-04-28 22:54:37,0,128,31-40,Thursday,April,22
55.6,35.0,54286.1,236.87,Multi-channeled attitude-oriented toolset,Hannaport,0,Mayotte,2016-06-20 14:20:52,1,129,31-40,Monday,June,14
40.04,23.0,25739.09,172.81,Centralized logistical secured line,Patriciahaven,0,Gabon,2016-03-20 07:12:52,0,130,21-30,Sunday,March,7
64.75,25.0,50506.44,176.28,Customizable multi-tasking website,West Aprilport,0,Lao People's Democratic Republic,2016-04-28 02:55:10,0,131,21-30,Thursday,April,2
51.56,45.0,74903.41,124.67,Assimilated multi-state paradigm,Wintersfort,0,Switzerland,2016-03-05 12:03:41,1,132,41-50,Saturday,March,12
88.04,44.0,50723.67,120.63,Future-proofed fresh-thinking conglomeration,Port Jodi,0,Congo,2016-03-01 22:06:37,0,133,41-50,Tuesday,March,22
70.58,28.0,72948.76,230.52,Intuitive exuding service-desk,Westshire,0,Chile,2016-01-13 20:38:35,1,134,21-30,Wednesday,January,20
81.22,29.0,56113.37,216.49,Front-line heuristic data-warehouse,Johnstad,0,Montenegro,2016-01-12 03:28:31,0,135,21-30,Tuesday,January,3
79.54,25.0,50671.6,241.03,Integrated interactive support,Joshuaburgh,1,Korea,2016-03-11 06:49:10,0,136,21-30,Friday,March,6
42.04,37.0,67132.46,201.58,Realigned global initiative,Lake James,0,Burundi,2016-01-08 22:47:10,0,137,31-40,Friday,January,22
82.07,41.0,57846.68,126.39,Robust uniform framework,West Lisa,0,Bulgaria,2016-02-27 15:04:52,1,138,41-50,Saturday,February,15
44.33,39.0,38067.08,124.44,Configurable logistical Graphical User Interface,North Randy,0,Serbia,2016-03-07 20:02:51,0,139,31-40,Monday,March,20
55.6,24.0,57691.95,182.2,Triple-buffered regional toolset,Whiteport,1,Somalia,2016-07-12 10:56:21,0,140,21-30,Tuesday,July,10
65.59,39.0,59457.52,222.25,Multi-channeled scalable moratorium,Port Melissaberg,1,Sri Lanka,2016-01-03 16:01:40,0,141,31-40,Sunday,January,16
57.99,49.0,45632.51,168.34,Up-sized bi-directional infrastructure,Patriciahaven,1,Bahamas,2016-03-11 00:05:48,0,142,41-50,Friday,March,0
52.68,35.0,25603.93,236.87,Programmable asymmetric data-warehouse,North Johnside,0,Hong Kong,2016-07-18 01:36:37,0,143,31-40,Monday,July,1
50.08,40.0,73882.91,132.63,Synergized coherent interface,Port Christopherborough,1,Honduras,2016-06-20 08:22:09,0,144,31-40,Monday,June,8
65.07,34.0,59785.94,160.03,Cloned explicit middleware,Kingshire,0,Turkmenistan,2016-04-05 18:02:49,1,145,31-40,Tuesday,April,18
80.3,52.0,33951.63,130.86,Devolved regional moderator,South Jaimeview,1,Cuba,2016-06-16 02:01:24,1,146,51-60,Thursday,June,2
70.44,34.0,59785.94,160.03,Cloned explicit middleware,New Tinamouth,0,Brunei Darussalam,2016-02-20 09:54:06,1,147,31-40,Saturday,February,9
70.39,27.0,39193.45,203.9,Virtual impactful algorithm,Jordantown,1,Estonia,2016-03-23 21:06:51,0,148,21-30,Wednesday,March,21
72.23,40.0,41232.89,120.37,Vision-oriented real-time framework,Sandraville,0,Cameroon,2016-05-02 07:00:58,0,149,31-40,Monday,May,7
50.08,36.0,29398.61,140.46,Multi-layered fresh-thinking neural-net,West Gregburgh,0,Montenegro,2016-07-06 05:34:52,0,150,31-40,Wednesday,July,5
42.04,37.0,53058.91,181.02,Profound dynamic attitude,East Tammie,0,Belgium,2016-02-10 19:20:51,0,151,31-40,Wednesday,February,19
79.52,38.0,64564.07,122.04,Synergized clear-thinking protocol,Stewartbury,1,Western Sahara,2016-02-13 07:53:55,1,152,31-40,Saturday,February,7
78.7,32.0,55424.24,172.83,Focused upward-trending core,Hernandezside,0,Hungary,2016-06-09 21:43:05,1,153,31-40,Thursday,June,21
51.24,36.0,29398.61,141.52,Up-sized incremental encryption,Kimberlymouth,0,Uganda,2016-03-12 07:18:36,1,154,31-40,Saturday,March,7
79.52,41.0,57846.68,259.76,Face-to-face even-keeled website,North Johnside,0,Hong Kong,2016-07-05 20:16:13,0,155,41-50,Tuesday,July,20
70.39,54.0,73049.3,117.33,Front-line bandwidth-monitored capacity,West Melaniefurt,1,Libyan Arab Jamahiriya,2016-01-01 05:31:22,1,156,51-60,Friday,January,5
66.08,33.0,77988.71,215.18,Stand-alone well-modulated product,West Connor,0,Indonesia,2016-06-17 20:18:27,0,157,31-40,Friday,June,20
61.22,31.0,56180.93,207.17,Focused 3rdgeneration pricing structure,Port Calvintown,0,Singapore,2016-07-11 09:32:53,0,158,31-40,Monday,July,9
67.56,28.0,71222.4,204.79,Intuitive exuding service-desk,Jamiefort,0,Croatia,2016-05-06 21:07:31,0,159,21-30,Friday,May,21
83.71,38.0,57868.44,130.83,Customizable homogeneous contingency,Stewartbury,1,Western Sahara,2016-02-13 07:53:55,1,160,31-40,Saturday,February,7
72.23,33.0,57868.44,191.82,Integrated leadingedge frame,Taylorhaven,1,Sri Lanka,2016-02-06 17:48:28,1,161,31-40,Saturday,February,17
80.3,49.0,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,0,Eritrea,2016-04-27 04:28:17,1,162,41-50,Wednesday,April,4
86.06,35.0,25603.93,109.07,Optional multi-state hardware,Hansenmouth,0,Albania,2016-06-29 02:48:44,1,163,31-40,Wednesday,June,2
70.58,31.0,58235.21,207.17,Programmable uniform website,New Michael,0,Turks and Caicos Islands,2016-02-26 22:46:43,0,164,31-40,Friday,February,22
54.97,33.0,55984.89,204.27,Compatible composite project,Novaktown,1,Afghanistan,2016-07-14 22:43:29,1,165,31-40,Thursday,July,22
55.6,39.0,38067.08,258.62,Vision-oriented attitude-oriented Internet solution,Elizabethport,0,Mayotte,2016-02-12 08:46:15,1,166,31-40,Friday,February,8
79.54,25.0,50506.44,241.03,Focused 24hour implementation,South Corey,1,Georgia,2016-03-18 13:00:12,0,167,21-30,Friday,March,13
43.49,37.0,23936.86,181.02,Profound dynamic attitude,Lake James,0,Burundi,2016-01-08 22:47:10,0,168,31-40,Friday,January,22
56.39,40.0,62669.59,117.3,Pre-emptive content-based frame,Lake Jessicaville,1,Ethiopia,2016-03-23 06:00:15,1,169,31-40,Wednesday,March,6
76.77,36.0,29398.61,222.25,Intuitive exuding service-desk,Garciatown,0,Chad,2016-02-26 19:48:23,0,170,31-40,Friday,February,19
78.36,34.0,40183.75,160.03,Cloned explicit middleware,Kingshire,0,Turkmenistan,2016-03-11 00:05:48,0,172,31-40,Friday,March,0
43.49,37.0,61172.07,181.02,Cross-group non-volatile secured line,New Brandy,1,Moldova,2016-03-23 21:06:51,0,173,31-40,Wednesday,March,21
40.04,34.0,20592.99,168.34,Cloned explicit middleware,Lake Amy,0,Turkmenistan,2016-03-11 00:05:48,0,174,31-40,Friday,March,0
59.36,38.0,39031.89,195.69,Cross-group non-volatile secured line,West Brandonton,0,Burundi,2016-04-04 20:01:12,0,175,31-40,Monday,April,20
40.04,23.0,40135.06,222.87,Centralized logistical secured line,Patriciahaven,0,Czech Republic,2016-01-14 14:00:09,1,176,21-30,Thursday,January,14
41.73,28.0,51501.38,120.49,Organized global flexibility,New Brandy,1,Luxembourg,2016-04-08 22:40:55,0,177,21-30,Friday,April,22
66.12,28.0,59448.44,230.52,Intuitive exuding service-desk,Westshire,0,Libyan Arab Jamahiriya,2016-06-20 14:20:52,1,178,21-30,Monday,June,14
84.73,36.0,76003.47,140.46,Total 5thgeneration standardization,West Ericfurt,0,Guinea,2016-05-13 14:12:39,1,179,31-40,Friday,May,14
43.6,39.0,75044.35,236.87,Business-focused real-time toolset,North Johnside,0,Saint Pierre and Miquelon,2016-05-12 04:35:59,0,180,31-40,Thursday,May,4
42.04,37.0,53058.91,129.31,Centralized logistical secured line,West Brandonton,0,Australia,2016-06-05 07:54:30,1,181,31-40,Sunday,June,7
51.24,36.0,61610.05,124.44,Up-sized incremental encryption,New Rebecca,0,El Salvador,2016-01-03 16:01:40,1,182,31-40,Sunday,January,16
71.84,39.0,37334.78,190.75,Managed zero tolerance concept,Edwardsport,1,American Samoa,2016-07-08 03:47:41,0,183,31-40,Friday,July,3
84.73,26.0,60997.84,131.68,Decentralized client-driven data-warehouse,Shelbyport,0,Albania,2016-05-24 13:30:38,1,184,21-30,Tuesday,May,13
43.49,37.0,75180.2,181.02,Vision-oriented attitude-oriented Internet solution,Lake James,0,Australia,2016-02-10 19:20:51,1,185,31-40,Wednesday,February,19
